contatore;date;value
1354687;23/12/2019 23:15;8.96
1354687;23/12/2019 23:30;10.56
1354687;23/12/2019 23:45;11.04
1354687;24/12/2019 00:00;11.04
1354687;24/12/2019 00:15;11.84
1354687;24/12/2019 00:30;11.36
1354687;24/12/2019 00:45;11.04
1354687;24/12/2019 01:00;8
1354687;24/12/2019 01:15;8.48
1354687;24/12/2019 01:30;9.12
1354687;24/12/2019 01:45;9.76
1354687;24/12/2019 02:00;9.6
1354687;24/12/2019 02:15;8.8
1354687;24/12/2019 02:30;8.32
1354687;24/12/2019 02:45;7.52
1354687;24/12/2019 03:00;7.36
1354687;24/12/2019 03:15;7.68
1354687;24/12/2019 03:30;7.68
1354687;24/12/2019 03:45;6.08
1354687;24/12/2019 04:00;5.92
1354687;24/12/2019 04:15;6.56
1354687;24/12/2019 04:30;6.4
1354687;24/12/2019 04:45;6.56
1354687;24/12/2019 05:00;6.24
1354687;24/12/2019 05:15;6.4
1354687;24/12/2019 05:30;6.56
1354687;24/12/2019 05:45;6.56
1354687;24/12/2019 06:00;6.72
1354687;24/12/2019 06:15;5.92
1354687;24/12/2019 06:30;5.76
1354687;24/12/2019 06:45;4.64
1354687;24/12/2019 07:00;4.96
1354687;24/12/2019 07:15;4.96
1354687;24/12/2019 07:30;6.08
1354687;24/12/2019 07:45;5.92
1354687;24/12/2019 08:00;5.44
1354687;24/12/2019 08:15;6.08
1354687;24/12/2019 08:30;6.88
1354687;24/12/2019 08:45;6.72
1354687;24/12/2019 09:00;7.36
1354687;24/12/2019 09:15;7.2
1354687;24/12/2019 09:30;8
1354687;24/12/2019 09:45;7.2
1354687;24/12/2019 10:00;8
1354687;24/12/2019 10:15;9.76
1354687;24/12/2019 10:30;10.4
1354687;24/12/2019 10:45;11.04
1354687;24/12/2019 11:00;8.48
1354687;24/12/2019 11:15;7.2
1354687;24/12/2019 11:30;5.6
1354687;24/12/2019 11:45;5.76
1354687;24/12/2019 12:00;5.76
1354687;24/12/2019 12:15;5.44
1354687;24/12/2019 12:30;5.92
1354687;24/12/2019 12:45;5.92
1354687;24/12/2019 13:00;6.08
1354687;24/12/2019 13:15;6.08
1354687;24/12/2019 13:30;5.76
1354687;24/12/2019 13:45;6.08
1354687;24/12/2019 14:00;5.92
1354687;24/12/2019 14:15;5.6
1354687;24/12/2019 14:30;5.6
1354687;24/12/2019 14:45;5.44
1354687;24/12/2019 15:00;8
1354687;24/12/2019 15:15;8.64
1354687;24/12/2019 15:30;8.64
1354687;24/12/2019 15:45;9.76
1354687;24/12/2019 16:00;7.68
1354687;24/12/2019 16:15;7.68
1354687;24/12/2019 16:30;7.68
1354687;24/12/2019 16:45;8.16
1354687;24/12/2019 17:00;8.16
1354687;24/12/2019 17:15;6.88
1354687;24/12/2019 17:30;6.72
1354687;24/12/2019 17:45;7.04
1354687;24/12/2019 18:00;7.04
1354687;24/12/2019 18:15;11.84
1354687;24/12/2019 18:30;11.36
1354687;24/12/2019 18:45;12.48
1354687;24/12/2019 19:00;14.24
1354687;24/12/2019 19:15;10.24
1354687;24/12/2019 19:30;12.64
1354687;24/12/2019 19:45;12.64
1354687;24/12/2019 20:00;12
1354687;24/12/2019 20:15;12.16
1354687;24/12/2019 20:30;12.16
1354687;24/12/2019 20:45;8.32
1354687;24/12/2019 21:00;7.84
1354687;24/12/2019 21:15;8.16
1354687;24/12/2019 21:30;8.16
1354687;24/12/2019 21:45;7.68
1354687;24/12/2019 22:00;8.64
1354687;24/12/2019 22:15;9.44
1354687;24/12/2019 22:30;8
1354687;24/12/2019 22:45;7.68
1354687;24/12/2019 23:00;7.2
1354687;24/12/2019 23:15;9.6
1354687;24/12/2019 23:30;9.12
1354687;24/12/2019 23:45;8.8
1354687;25/12/2019 00:00;9.12
1354687;25/12/2019 00:15;8.16
1354687;25/12/2019 00:30;8.16
1354687;25/12/2019 00:45;8.48
1354687;25/12/2019 01:00;8.48
1354687;25/12/2019 01:15;8
1354687;25/12/2019 01:30;8.32
1354687;25/12/2019 01:45;8.32
1354687;25/12/2019 02:00;8
1354687;25/12/2019 02:15;8.48
1354687;25/12/2019 02:30;6.88
1354687;25/12/2019 02:45;9.28
1354687;25/12/2019 03:00;9.92
1354687;25/12/2019 03:15;10.08
1354687;25/12/2019 03:30;9.6
1354687;25/12/2019 03:45;9.76
1354687;25/12/2019 04:00;11.84
1354687;25/12/2019 04:15;11.04
1354687;25/12/2019 04:30;11.04
1354687;25/12/2019 04:45;10.72
1354687;25/12/2019 05:00;10.72
1354687;25/12/2019 05:15;10.56
1354687;25/12/2019 05:30;8.96
1354687;25/12/2019 05:45;9.12
1354687;25/12/2019 06:00;9.76
1354687;25/12/2019 06:15;9.28
1354687;25/12/2019 06:30;9.12
1354687;25/12/2019 06:45;9.6
1354687;25/12/2019 07:00;9.12
1354687;25/12/2019 07:15;8.48
1354687;25/12/2019 07:30;8.48
1354687;25/12/2019 07:45;8.16
1354687;25/12/2019 08:00;6.24
1354687;25/12/2019 08:15;6.08
1354687;25/12/2019 08:30;5.92
1354687;25/12/2019 08:45;6.08
1354687;25/12/2019 09:00;5.92
1354687;25/12/2019 09:15;5.6
1354687;25/12/2019 09:30;6.88
1354687;25/12/2019 09:45;5.92
1354687;25/12/2019 10:00;5.6
1354687;25/12/2019 10:15;5.76
1354687;25/12/2019 10:30;5.76
1354687;25/12/2019 10:45;6.56
1354687;25/12/2019 11:00;6.24
1354687;25/12/2019 11:15;6.24
1354687;25/12/2019 11:30;5.92
1354687;25/12/2019 11:45;5.92
1354687;25/12/2019 12:00;6.88
1354687;25/12/2019 12:15;7.2
1354687;25/12/2019 12:30;6.24
1354687;25/12/2019 12:45;5.92
1354687;25/12/2019 13:00;6.08
1354687;25/12/2019 13:15;5.76
1354687;25/12/2019 13:30;6.4
1354687;25/12/2019 13:45;7.84
1354687;25/12/2019 14:00;7.68
1354687;25/12/2019 14:15;8
1354687;25/12/2019 14:30;7.2
1354687;25/12/2019 14:45;7.84
1354687;25/12/2019 15:00;8
1354687;25/12/2019 15:15;7.2
1354687;25/12/2019 15:30;9.12
1354687;25/12/2019 15:45;10.4
1354687;25/12/2019 16:00;8.16
1354687;25/12/2019 16:15;8.32
1354687;25/12/2019 16:30;11.2
1354687;25/12/2019 16:45;11.84
1354687;25/12/2019 17:00;12.16
1354687;25/12/2019 17:15;11.52
1354687;25/12/2019 17:30;8.32
1354687;25/12/2019 17:45;8
1354687;25/12/2019 18:00;7.2
1354687;25/12/2019 18:15;7.2
1354687;25/12/2019 18:30;8.8
1354687;25/12/2019 18:45;8.96
1354687;25/12/2019 19:00;8
1354687;25/12/2019 19:15;9.28
1354687;25/12/2019 19:30;8.8
1354687;25/12/2019 19:45;10.56
1354687;25/12/2019 20:00;8.48
1354687;25/12/2019 20:15;8.48
1354687;25/12/2019 20:30;9.44
1354687;25/12/2019 20:45;10.56
1354687;25/12/2019 21:00;8.8
1354687;25/12/2019 21:15;9.92
1354687;25/12/2019 21:30;8.16
1354687;25/12/2019 21:45;8.32
1354687;25/12/2019 22:00;8.48
1354687;25/12/2019 22:15;8.8
1354687;25/12/2019 22:30;8.48
1354687;25/12/2019 22:45;10.72
1354687;25/12/2019 23:00;9.6
1354687;25/12/2019 23:15;9.76
1354687;25/12/2019 23:30;11.04
1354687;25/12/2019 23:45;11.04
1354687;26/12/2019 00:00;10.88
1354687;26/12/2019 00:15;10.24
1354687;26/12/2019 00:30;7.52
1354687;26/12/2019 00:45;8.32
1354687;26/12/2019 01:00;10.56
1354687;26/12/2019 01:15;10.4
1354687;26/12/2019 01:30;9.92
1354687;26/12/2019 01:45;8.96
1354687;26/12/2019 02:00;8.32
1354687;26/12/2019 02:15;7.84
1354687;26/12/2019 02:30;7.36
1354687;26/12/2019 02:45;6.88
1354687;26/12/2019 03:00;7.36
1354687;26/12/2019 03:15;6.88
1354687;26/12/2019 03:30;6.72
1354687;26/12/2019 03:45;6.56
1354687;26/12/2019 04:00;6.56
1354687;26/12/2019 04:15;6.4
1354687;26/12/2019 04:30;5.76
1354687;26/12/2019 04:45;6.24
1354687;26/12/2019 05:00;5.76
1354687;26/12/2019 05:15;5.76
1354687;26/12/2019 05:30;5.76
1354687;26/12/2019 05:45;5.76
1354687;26/12/2019 06:00;5.92
1354687;26/12/2019 06:15;6.08
1354687;26/12/2019 06:30;7.04
1354687;26/12/2019 06:45;6.24
1354687;26/12/2019 07:00;7.84
1354687;26/12/2019 07:15;5.6
1354687;26/12/2019 07:30;5.12
1354687;26/12/2019 07:45;5.6
1354687;26/12/2019 08:00;5.6
1354687;26/12/2019 08:15;5.28
1354687;26/12/2019 08:30;4.96
1354687;26/12/2019 08:45;5.28
1354687;26/12/2019 09:00;5.28
1354687;26/12/2019 09:15;5.12
1354687;26/12/2019 09:30;4.96
1354687;26/12/2019 09:45;5.12
1354687;26/12/2019 10:00;5.28
1354687;26/12/2019 10:15;5.92
1354687;26/12/2019 10:30;6.24
1354687;26/12/2019 10:45;6.08
1354687;26/12/2019 11:00;7.04
1354687;26/12/2019 11:15;6.72
1354687;26/12/2019 11:30;7.36
1354687;26/12/2019 11:45;6.4
1354687;26/12/2019 12:00;6.72
1354687;26/12/2019 12:15;7.2
1354687;26/12/2019 12:30;6.88
1354687;26/12/2019 12:45;6.72
1354687;26/12/2019 13:00;7.68
1354687;26/12/2019 13:15;6.24
1354687;26/12/2019 13:30;6.88
1354687;26/12/2019 13:45;6.4
1354687;26/12/2019 14:00;6.4
1354687;26/12/2019 14:15;6.24
1354687;26/12/2019 14:30;6.88
1354687;26/12/2019 14:45;7.84
1354687;26/12/2019 15:00;7.52
1354687;26/12/2019 15:15;7.84
1354687;26/12/2019 15:30;7.52
1354687;26/12/2019 15:45;7.84
1354687;26/12/2019 16:00;8
1354687;26/12/2019 16:15;7.52
1354687;26/12/2019 16:30;7.84
1354687;26/12/2019 16:45;7.52
1354687;26/12/2019 17:00;7.68
1354687;26/12/2019 17:15;8
1354687;26/12/2019 17:30;8.16
1354687;26/12/2019 17:45;7.52
1354687;26/12/2019 18:00;6.88
1354687;26/12/2019 18:15;7.04
1354687;26/12/2019 18:30;10.56
1354687;26/12/2019 18:45;11.2
1354687;26/12/2019 19:00;11.52
1354687;26/12/2019 19:15;8.64
